mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9883829962568763e+33	15925742490.247547	224185.47828158358	65326230006.153206	0.0005247625047779	23898169180.86547	1.9091806524371956e+27	1.4318854893278966e+27	0	4.772951631092989e+26	0	0	0	0	0
1.988381087076224e+33	17068594338.135845	228103.52382219935	65256660006.254074	0.0005527596677394102	25613132663.80665	2.0075552307090386e+27	1.505666423031779e+27	0	5.0188880767725966e+26	0	0	0	0	0
1.9883790795209932e+33	18274512569.09952	232029.92825597097	65187090006.35494	0.000581798210305564	27422733561.190742	2.1093273642978458e+27	1.5819955232233843e+27	0	5.2733184107446144e+26	0	0	0	0	0
1.9883769701936289e+33	19546007657.241623	235964.71816506828	65117520006.45582	0.0006119015846713424	29330739090.456776	2.2145598093629203e+27	1.6609198570221902e+27	0	5.536399523407301e+26	0	0	0	0	0
1.9883747556338194e+33	20885656085.863953	239907.920238011	65047950006.556694	0.0006430935018794194	31341015522.447445	2.3233155891070412e+27	1.7424866918302807e+27	0	5.808288972767603e+26	0	0	0	0	0
1.9883724323182303e+33	22296101433.550888	243859.56127008676	64978380006.65757	0.0006753979344251622	33457529811.186462	2.4356579951356348e+27	1.8267434963517263e+27	0	6.089144987839087e+26	0	0	0	0	0
1.9883699966602352e+33	23780055475.910698	247819.66816377366	64908810006.75844	0.0007088391188879776	35684351247.15159	2.55165058882639e+27	1.9137379416197928e+27	0	6.379126472065976e+26	0	0	0	0	0
1.9883674450096463e+33	25340299303.190456	251788.26792916335	64839240006.85931	0.0007434415585892435	38025653134.3676	2.671357202703911e+27	2.0035179020279332e+27	0	6.678393006759778e+26	0	0	0	0	0
1.9883647736524435e+33	26979684453.98472	255765.3876843842	64769670006.960175	0.0007792300262770908	40485714491.64947	2.794841941818936e+27	2.096131456364202e+27	0	6.98710485454734e+26	0	0	0	0	0
1.9883619788105017e+33	28701134065.263718	259751.05465603044	64700100007.06105	0.0008162295668383615	43068921778.33473	2.92216918513902e+27	2.1916268888542647e+27	0	7.30542296284755e+26	0	0	0	0	0
1.9883590566413167e+33	30507644038.943806	263745.2961795877	64630530007.16193	0.0008544655000379378	45779770644.839066	3.05340358693866e+27	2.290052690203995e+27	0	7.63350896734665e+26	0	0	0	0	0
1.9883560032377297e+33	32402284225.233208	267748.13969986356	64560960007.262794	0.0008939634232857944	48622867708.38495	3.188610078201388e+27	2.3914575586510412e+27	0	7.97152519550347e+26	0	0	0	0	0
1.9883528146276515e+33	34388199622.98294	271759.61277141643	64491390007.36366	0.0009347492144319992	51602932354.2482	3.3278538680234925e+27	2.4958904010176194e+27	0	8.319634670058731e+26	0	0	0	0	0
1.9883494867737834e+33	36468611597.28234	275779.7430589908	64421820007.46454	0.0009768490345900176	54724798562.88188	3.4712004450306717e+27	2.603400333773004e+27	0	8.678001112576679e+26	0	0	0	0	0
1.9883460155733383e+33	38646819114.534515	279808.5583379491	64352250007.565414	0.0010202893309885284	57993416763.27049	3.618715578792739e+27	2.714036684094554e+27	0	9.046788946981847e+26	0	0	0	0	0
1.9883423968577594e+33	40926199995.25673	283846.086494708	64282680007.66629	0.0010650968398520989	61413855712.88224	3.770465321250729e+27	2.827848990938047e+27	0	9.426163303126823e+26	0	0	0	0	0
1.9883386263924383e+33	43310212184.851036	287892.3555271758	64213110007.76715	0.0011112985893109973	64991304404.58746	3.9265160081483937e+27	2.9448870061112953e+27	0	9.816290020370984e+26	0	0	0	0	0
1.9883346998764302e+33	45802395042.592514	291947.3935451886	64143540007.86803	0.0011589219023404118	68731074000.91432	4.0869342604672296e+27	3.065200695350422e+27	0	1.0217335651168074e+27	0	0	0	0	0
1.9883306129421697e+33	48406370649.09232	296011.2287709542	64073970007.9689	0.0012079943997294598	72638599796.02792	4.2517869858754436e+27	3.1888402394065827e+27	0	1.0629467464688609e+27	0	0	0	0	0
1.9883263611551837e+33	51125845132.48555	300083.88953949127	64004400008.06977	0.0012585440030801775	76719443205.80782	4.4211413801730424e+27	3.3158560351297816e+27	0	1.1052853450432606e+27	0	0	0	0	0
1.9883219400138034e+33	53964610013.60755	304165.4042990732	63934830008.17065	0.0013105989378368761	80979293786.4195	4.5950649287506284e+27	3.4462986965629714e+27	0	1.1487662321876571e+27	0	0	0	0	0
