mass	pressure	temperature	radius	density	specificenergy	dm
1.925175308569353e+33	70932161765.60428	325681.698421226	63511351351.35136	0.0016088680466952025	66158814058186.6	5.57902583605568e+27
1.9251697295435168e+33	74576433676.3955	329786.564127949	63441711711.711716	0.001670472143476691	66992674383594.49	5.781083591721813e+27
1.925163948459925e+33	78367815121.04874	333900.43894355337	63372072072.072075	0.001733769400040341	67828364814784.18	5.988119327892856e+27
1.9251579603405973e+33	82310757053.43478	338023.3521384582	63302432432.43244	0.0017987900499073675	68665891297733.69	6.200201274168287e+27
1.925151760139323e+33	86409806685.90529	342155.3331001033	63232792792.7928	0.0018655646534074123	69505259802192.54	6.417397956581327e+27
1.9251453427413665e+33	90669609004.79805	346296.41133340815	63163153153.15316	0.0019341241009748248	70346476321775.04	6.639778199088381e+27
1.9251387029631676e+33	95094908307.54709	350446.61646122974	63093513513.51352	0.002004499616478321	71189546874053.23	6.867411125054588e+27
1.9251318355520424e+33	99690549761.70392	354605.9782248266	63023873873.87388	0.002076722760584479	72034477500651.19	7.100366158759946e+27
1.9251247351858837e+33	104461480986.16182	358774.5264843179	62954234234.23424	0.0021508254341552316	72881274267338.31	7.338713026888488e+27
1.925117396472857e+33	109412753654.90552	362952.2912191514	62884594594.5946	0.00222683988167994	73729943264124.3	7.582521760050808e+27
1.9251098139510968e+33	114549525123.58032	367139.30252856464	62814954954.95496	0.002304798694742124	74580490605352.92	7.831862694282171e+27
1.9251019820884024e+33	119877060079.21936	371335.5906320585	62745315315.31532	0.002384734815521556	75432922429798.16	8.086806472582474e+27
1.92509389528193e+33	125400732213.42015	375541.1858698593	62675675675.67568	0.0024666815403316293	76287244900758.12	8.34742404641581e+27
1.9250855478578834e+33	131126025919.32669	379756.1187033944	62606036036.03604	0.002550672523192845	77143464206151.6	8.613786677267848e+27
1.9250769340712062e+33	137058538012.71956	383980.41971576086	62536396396.3964	0.0026367417794423797	78001586558613.34	8.885965938161815e+27
1.925068048105268e+33	143203979477.5668	388214.11961220123	62466756756.75676	0.002724923689380391	78861618195590.69	9.164033715213605e+27
1.925058884071553e+33	149568177236.35925	392457.24922057614	62397117117.11713	0.002815253001953219	79723565379439.47	9.448062209171887e+27
1.9250494360093438e+33	156157075945.59323	396709.8394918471	62327477477.477486	0.0029077648384741484	80587434397522.22	9.738123936984927e+27
1.9250396978854068e+33	162976739816.71292	400971.92150054575	62257837837.837845	0.0030024946963816117	81453231562303.45	1.0034291733333968e+28
1.9250296635936735e+33	170033354462.91174	405243.52644526155	62188198198.198204	0.0030994784530358884	82320963211448.72	1.0336638752228543e+28
1.9250193269549214e+33	177333228772.10516	409524.68564911763	62118558558.55856	0.0031987523695540506	83190635707921.28	1.0645238468550042e+28
1.9250086817164527e+33	184882796806.47437	413815.4305602588	62048918918.91892	0.0033003530946840776	84062255440081.2	1.0960164679649428e+28
1.924997721551773e+33	192688619728.91376	418115.7927523311	61979279279.27928	0.00340431766871806	84935828821782.83	1.1281491506906256e+28
1.924986440060266e+33	200757387756.78735	422425.80392497196	61909639639.63965	0.003510683527445352	85811362292474.4	1.1609293397335861e+28
1.9249748307668687e+33	209095922143.3433	426745.4959042955	61840000000.00001	0.0036194885061456936	86688862317296.42	1.1943645125165132e+28
1.9249628871217435e+33	217711177187.18887	431074.90064338304	61770360360.36037	0.0037307708436229822	87568335387181.56	1.2284621793438254e+28
1.92495060249995e+33	226610242270.1987	435414.05022277223	61700720720.720726	0.0038445691862799116	88449788018953.86	1.2632298835608993e+28
1.9249379702011146e+33	235800343924.26614	439762.9768509521	61631081081.081085	0.003960922592234119	89333226755429.4	1.298675201716563e+28
1.9249249834490973e+33	245288847927.2724	444121.71286485344	61561441441.441444	0.0040798705354759554	90218658165515.73	1.334805743721894e+28
1.92491163539166e+33	255083261428.70825	448490.29073034856	61491801801.8018	0.004201452910068706	91106088844313.64	1.3716291530146082e+28
1.92489791910013e+33	265191235105.32037	452868.74304274324	61422162162.16217	0.004325710034391209	91995525413216.89	1.4091531067185976e+28
1.924883827569063e+33	275620565347.2393	457257.1025272806	61352522522.52253	0.0044526826554238605	92886974520014.66	1.4473853158094422e+28
1.924869353715905e+33	286379196474.96606	461655.4020396362	61282882882.88289	0.004582411953077874	93780442838992.17	1.4863335252748102e+28
1.9248544903806522e+33	297475222987.68524	466063.6745664246	61213243243.24325	0.004714939544568777	94675937071033.4	1.5260055142811244e+28
1.9248392303255093e+33	308916891843.30023	470481.9532256984	61143603603.60361	0.004850307488834122	95573463943722.72	1.566409096334944e+28
